row,col,plot
15,70,2870
15,71,2871
15,72,2872
15,73,2873
15,74,2874
15,75,2875
15,76,3316
15,77,3317
15,78,3318
15,79,3319
15,80,3320
15,81,3321
15,82,3322
15,83,3323
15,84,3324
15,85,3325
15,86,3326
15,87,3327
15,88,3328
15,89,3329
15,90,3330
15,91,251
15,92,252
15,93,253
15,94,254
15,95,255
15,96,256
15,97,257
15,98,258
15,99,259
15,100,260
15,101,261
15,102,262
15,103,263
15,104,264
15,105,265
16,1,460
16,2,459
16,3,458
16,4,457
16,5,456
16,6,455
16,7,454
16,8,453
16,9,452
16,10,451
16,11,450
16,12,449
16,13,448
16,14,447
16,15,446
16,16,945
16,17,944
16,18,943
16,19,942
16,20,941
16,21,940
16,22,939
16,23,938
16,24,937
16,25,936
16,26,935
16,27,934
16,28,933
16,29,932
16,30,931
16,31,1660
16,32,1659
16,33,1658
16,34,1657
16,35,1656
16,36,1655
16,37,1654
16,38,1653
16,39,1652
16,40,1651
16,41,1650
16,42,1649
16,43,1648
16,44,1647
16,45,1646
16,46,2145
16,47,2144
16,48,2143
16,49,2142
16,50,2141
16,51,2140
16,52,2139
16,53,2138
16,54,2137
16,55,2136
16,56,2135
16,57,2134
16,58,2133
16,59,2132
16,60,2131
16,61,2860
16,62,2859
16,63,2858
16,64,2857
16,65,2856
16,66,2855
16,67,2854
16,68,2853
16,69,2852
16,70,2851
16,71,2850
16,72,2849
16,73,2848
16,74,2847
16,75,2846
16,76,3345
16,77,3344
16,78,3343
16,79,3342
16,80,3341
16,81,3340
16,82,3339
16,83,3338
16,84,3337
16,85,3336
16,86,3335
16,87,3334
16,88,3333
16,89,3332
16,90,3331
16,91,BORLAUG 100
16,92,BORLAUG 100
16,93,BORLAUG 100
16,94,BORLAUG 100
16,95,BORLAUG 100
16,96,BORLAUG 100
16,97,BORLAUG 100
16,98,BORLAUG 100
16,99,BORLAUG 100
16,100,BORLAUG 100
16,101,250
16,102,249
16,103,248
16,104,247
16,105,246
17,1,431
17,2,432
17,3,433
17,4,434
17,5,435
17,6,436
17,7,437
17,8,438
17,9,439
17,10,440
17,11,441
17,12,442
17,13,443
17,14,444
17,15,445
17,16,946
17,17,947
17,18,948
17,19,949
17,20,950
17,21,951
17,22,952
17,23,953
17,24,954
17,25,955
17,26,956
17,27,957
17,28,958
17,29,959
17,30,960
17,31,1631
17,32,1632
17,33,1633
17,34,1634
17,35,1635
17,36,1636
17,37,1637
17,38,1638
17,39,1639
17,40,1640
17,41,1641
17,42,1642
17,43,1643
17,44,1644
17,45,1645
17,46,2146
17,47,2147
17,48,2148
17,49,2149
17,50,2150
17,51,2151
17,52,2152
17,53,2153
17,54,2154
17,55,2155
17,56,2156
17,57,2157
17,58,2158
17,59,2159
17,60,2160
17,61,2831
17,62,2832
17,63,2833
17,64,2834
17,65,2835
17,66,2836
17,67,2837
17,68,2838
17,69,2839
17,70,2840
17,71,2841
17,72,2842
17,73,2843
17,74,2844
17,75,2845
17,76,3346
17,77,3347
17,78,3348
17,79,3349
17,80,3350
17,81,3351
17,82,3352
17,83,3353
17,84,3354
17,85,3355
17,86,3356
17,87,3357
17,88,3358
17,89,3359
17,90,3360
17,91,231
17,92,232
17,93,233
17,94,234
17,95,235
17,96,236
17,97,237
17,98,238
17,99,239
17,100,240
17,101,241
17,102,242
17,103,243
17,104,244
17,105,245
18,1,430
18,2,429
18,3,428
18,4,427
18,5,426
18,6,425
18,7,424
18,8,423
18,9,422
18,10,421
18,11,420
18,12,419
18,13,418
18,14,417
18,15,416
18,16,975
18,17,974
18,18,973
18,19,972
18,20,971
18,21,970
18,22,969
18,23,968
18,24,967
18,25,966
18,26,965
18,27,964
18,28,963
18,29,962
18,30,961
18,31,1630
18,32,1629
18,33,1628
18,34,1627
18,35,1626
18,36,1625
18,37,1624
18,38,1623
18,39,1622
18,40,1621
18,41,1620
18,42,1619
18,43,1618
18,44,1617
18,45,1616
18,46,2175
18,47,2174
18,48,2173
18,49,2172
18,50,2171
18,51,2170
18,52,2169
18,53,2168
18,54,2167
18,55,2166
18,56,2165
18,57,2164
18,58,2163
18,59,2162
18,60,2161
18,61,2830
18,62,2829
18,63,2828
18,64,2827
18,65,2826
18,66,2825
18,67,2824
18,68,2823
18,69,2822
18,70,2821
18,71,2820
18,72,2819
18,73,2818
18,74,2817
18,75,2816
18,76,3375
18,77,3374
18,78,3373
18,79,3372
18,80,3371
18,81,3370
18,82,3369
18,83,3368
18,84,3367
18,85,3366
18,86,3365
18,87,3364
18,88,3363
18,89,3362
18,90,3361
18,91,230
18,92,229
18,93,228
18,94,227
18,95,226
18,96,225
18,97,224
18,98,223
18,99,222
18,100,221
18,101,220
18,102,219
18,103,218
18,104,217
18,105,216
19,1,401
19,2,402
19,3,403
19,4,404
19,5,405
19,6,406
19,7,407
19,8,408
19,9,409
19,10,410
19,11,411
19,12,412
19,13,413
19,14,414
19,15,415
19,16,976
19,17,977
19,18,978
19,19,979
19,20,980
19,21,981
19,22,982
19,23,983
19,24,984
19,25,985
19,26,986
19,27,987
19,28,988
19,29,989
19,30,990
19,31,1601
19,32,1602
19,33,1603
19,34,1604
19,35,1605
19,36,1606
19,37,1607
19,38,1608
19,39,1609
19,40,1610
19,41,1611
19,42,1612
19,43,1613
19,44,1614
19,45,1615
19,46,2176
19,47,2177
19,48,2178
19,49,2179
19,50,2180
19,51,2181
19,52,2182
19,53,2183
19,54,2184
19,55,2185
19,56,2186
19,57,2187
19,58,2188
19,59,2189
19,60,2190
19,61,2801
19,62,2802
19,63,2803
19,64,2804
19,65,2805
19,66,2806
19,67,2807
19,68,2808
19,69,2809
19,70,2810
19,71,2811
19,72,2812
19,73,2813
19,74,2814
19,75,2815
19,76,3376
19,77,3377
19,78,3378
19,79,3379
19,80,3380
19,81,3381
19,82,3382
19,83,3383
19,84,3384
19,85,3385
19,86,3386
19,87,3387
19,88,3388
19,89,3389
19,90,3390
19,91,201
19,92,202
19,93,203
19,94,204
19,95,205
